n,tapers,reading,phase,gain_bits,peak_bucket,byte,node_peak,fade
16384,5,Fold,7,0,3827,0,0.000000000,0.000000000
16384,5,Fold,8,0,3827,0,0.000000000,0.000000000
16384,5,Fold,9,0,3827,0,0.000000000,0.000000000
16384,5,Spectrum,0,0,3827,0,0.000000000,0.000000000
16384,5,Spectrum,1,987778669,2095,127,0.498039216,0.000000000
16384,5,Spectrum,2,987778670,2095,127,0.501960814,0.199999988
16384,5,Spectrum,3,984243916,2095,117,0.458823532,0.399999976
16384,5,Spectrum,4,979951189,2095,102,0.403921574,0.599999964
16384,5,Spectrum,5,979951188,2095,102,0.400000006,0.399999976
16384,5,Spectrum,6,0,3827,0,0.000000000,0.199999988
16384,5,Spectrum,7,0,3827,0,0.000000000,0.000000000
16384,5,Spectrum,8,0,3827,0,0.000000000,0.000000000
16384,5,Spectrum,9,0,3827,0,0.000000000,0.000000000
